Date,Team,Acquired,Relinquished,Notes
4/14/14,Lakers,,Pau Gasol,vertigo (DNP)
4/14/14,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
4/14/14,Magic,,Jameer Nelson,strained left groin (DNP)
4/14/14,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4/14/14,Pelicans,,Anthony Davis,back spasms (DNP)
4/14/14,Pelicans,,Brian Roberts,sprained left ankle (DNP)
4/14/14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/14/14,Pelicans,,Jason Smith,right knee injury (DNP)
4/14/14,Raptors,,DeMar DeRozan,DNP
4/14/14,Raptors,,Dwight Buycks,placed on IL
4/14/14,Raptors,,Landry Fields,respiratory ailment (DNP)
4/14/14,Raptors,Julyan Stone,,activated from IL
4/14/14,Rockets,Francisco Garcia,,activated from IL
4/14/14,Spurs,,Danny Green,placed on IL
4/14/14,Spurs,,Kawhi Leonard,placed on IL
4/14/14,Spurs,,Patty Mills,rest (DNP)
4/14/14,Spurs,Manu Ginobili,,activated from IL
4/14/14,Spurs,Tim Duncan,,activated from IL
4/14/14,Thunder,,Russell Westbrook,placed on IL for rest
4/14/14,Thunder,Andre Roberson,,activated from IL
4/14/14,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
4/14/14,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/14/14,Timberwolves,,Ronny Turiaf,right knee injury (DNP)
4/14/14,Warriors,,Andre Iguodala,placed on IL
4/14/14,Warriors,,Andrew Bogut,placed on IL with fractured right rib
4/14/14,Wizards,,Chris Singleton,placed on IL (out for season)
4/14/14,Wizards,Nene Hilario ,,activated from IL
4/14/14,Rockets,,Isaiah Canaan,placed on IL
4/14/14,Rockets,,Robert Covington,placed on IL
4/14/14,Warriors,Ognen Kuzmic,,activated from IL
4/14/14,Warriors,Nemanja Nedovic,,activated from IL
4/15/14,Clippers,,Danny Granger,strained left hamstring (DNP)
4/15/14,Knicks,,Carmelo Anthony,torn labrum in right shoulder (DNP)
4/15/14,Nets,,Alan Anderson,sore abdominal muscle (DNP)
4/15/14,Nets,,Shaun Livingston,sprained right big toe (DNP)
4/15/14,Nuggets,,Danilo Gallinari,torn ACL in left knee (out for season)
4/15/14,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/15/14,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/15/14,Nuggets,,Ty Lawson,sprained left ankle (DNP)
4/16/14,Blazers,,LaMarcus Aldridge,placed on IL (out for season)
4/16/14,Blazers,,Mo Williams,placed on IL
4/16/14,Blazers,Allen Crabbe,,activated from IL
4/16/14,Blazers,Joel Freeland,,activated from IL
4/16/14,Blazers,Victor Claver,,activated from IL
4/16/14,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/16/14,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/16/14,Cavaliers,,Anderson Varejao,DNP
4/16/14,Cavaliers,,Luol Deng,placed on IL with back injury (out for season)
4/16/14,Cavaliers,Carrick Felix,,activated from IL
4/16/14,Celtics,,Jared Sullinger,sprained left ankle (DNP)
4/16/14,Celtics,,Jerryd Bayless,hyperextended right knee (DNP)
4/16/14,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
4/16/14,Celtics,,Vitor Faverani,knee injury (DNP)
4/16/14,Clippers,,Chris Paul,rest (DNP)
4/16/14,Clippers,,Danny Granger,strained left hamstring (DNP)
4/16/14,Clippers,,J.J. Redick,rest (DNP)
4/16/14,Hawks,,Paul Millsap,DNP
4/16/14,Heat,,Mario Chalmers,DNP
4/16/14,Jazz,,Enes Kanter,placed on IL
4/16/14,Jazz,,Enes Kanter,knee injury (DNP)
4/16/14,Jazz,,Marvin Williams,knee injury (DNP)
4/16/14,Jazz,Erik Murphy,,activated from IL
4/16/14,Knicks,,Carmelo Anthony,torn labrum in right shoulder (DNP)
4/16/14,Knicks,,Raymond Felton,ankle injury (DNP)
4/16/14,Lakers,,Chris Kaman,sore/strained right calf (DNP)
4/16/14,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
4/16/14,Lakers,,Kent Bazemore,surgery on right foot to repair torn tendon
4/16/14,Lakers,,Pau Gasol,vertigo (DNP)
4/16/14,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
4/16/14,Magic,,Jameer Nelson,strained left groin (DNP)
4/16/14,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4/16/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/16/14,Nets,,Alan Anderson,sore abdominal muscle (DNP)
4/16/14,Nets,,Deron Williams,right knee tendinitis (DNP)
4/16/14,Nets,,Joe Johnson,right calf injury (DNP)
4/16/14,Nets,,Kevin Garnett,rest (DNP)
4/16/14,Nets,,Paul Pierce,rest (DNP)
4/16/14,Nets,,Shaun Livingston,sprained right big toe (DNP)
4/16/14,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/16/14,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/16/14,Nuggets,,Ty Lawson,sprained left ankle (DNP)
4/16/14,Pacers,,C.J. Watson,placed on IL (out for season)
4/16/14,Pacers,Solomon Hill,,activated from IL
4/16/14,Pelicans,,Anthony Davis,back spasms (DNP)
4/16/14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/16/14,Pelicans,,Jason Smith,right knee injury (DNP)
4/16/14,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
4/16/14,Raptors,,Julyan Stone,placed on IL
4/16/14,Raptors,,Landry Fields,respiratory ailment (DNP)
4/16/14,Raptors,DeMar DeRozan,,returned to lineup
4/16/14,Raptors,Dwight Buycks,,activated from IL
4/16/14,Rockets,,Chandler Parsons,rest (DNP)
4/16/14,Rockets,,Francisco Garcia,placed on IL (out for season)
4/16/14,Rockets,,James Harden,placed on IL (out for season)
4/16/14,Rockets,,Jeremy Lin,rest (DNP)
4/16/14,Rockets,Isaiah Canaan,,activated from IL
4/16/14,Rockets,Robert Covington,,activated from IL
4/16/14,Spurs,,Marco Belinelli,placed on IL (out for season)
4/16/14,Spurs,,Tim Duncan,placed on IL
4/16/14,Spurs,Danny Green,,activated from IL
4/16/14,Spurs,Kawhi Leonard,,activated from IL
4/16/14,Suns,,Goran Dragic,ankle injury (DNP)
4/16/14,Thunder,,Andre Roberson,placed on IL
4/16/14,Thunder,Russell Westbrook,,activated from IL
4/16/14,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
4/16/14,Timberwolves,,Jose Barea ,back spasms (DNP)
4/16/14,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/16/14,Warriors,,Andrew Bogut,fractured right rib (DNP)
4/16/14,Warriors,,David Lee,rest (DNP)
4/16/14,Warriors,,Jermaine O'Neal,placed on IL (out for season)
4/16/14,Warriors,,Nemanja Nedovic,calf injury (DNP)
4/16/14,Warriors,,Stephen Curry,rest (DNP)
4/16/14,Warriors,Andre Iguodala,,activated from IL
4/16/14,Knicks,,Lamar Odom,placed on IL
4/16/14,Warriors,,Andre Iguodala,rest (DNP)
4/19/14,Cavaliers,,Will Bynum,placed on IL
4/19/14,Clippers,,Reggie Bullock,placed on IL
4/19/14,Grizzlies,,Jamaal Franklin,placed on IL
4/19/14,Grizzlies,,Quincy Pondexter,placed on IL (out for season)
4/19/14,Hawks,,Jeff Teague,placed on IL (out for season)
4/19/14,Hawks,Al Horford,,activated from IL
4/19/14,Hawks,Gustavo Ayon,,activated from IL
4/19/14,Hawks,John Jenkins,,activated from IL
4/19/14,Nets,,Brook Lopez,placed on IL (out for season)
4/19/14,Pacers,,Solomon Hill,placed on IL
4/19/14,Raptors,,Dwight Buycks,placed on IL (out for season)
4/19/14,Raptors,,Julyan Stone,placed on IL
4/19/14,Raptors,,Landry Fields,respiratory ailment (DNP)
4/19/14,Thunder,,Andre Roberson,placed on IL
4/19/14,Thunder,,Grant Jerrett,placed on IL
4/19/14,Warriors,,Andrew Bogut,placed on IL with fractured right rib
4/19/14,Warriors,,Andrew Bogut,fractured right rib (DNP)
4/19/14,Warriors,,Festus Ezeli,placed on IL
4/19/14,Warriors,,Nemanja Nedovic,placed on IL with calf injury
4/20/14,Blazers,,Allen Crabbe,placed on IL (out for season)
4/20/14,Blazers,,Victor Claver,placed on IL
4/20/14,Bulls,,Greg Smith ,placed on IL
4/20/14,Heat,,Justin Hamilton ,placed on IL (out for season)
4/20/14,Heat,,Michael Beasley,sprained right ankle (DNP)
4/20/14,Heat,,Michael Beasley,placed on IL with sprained right ankle
4/20/14,Mavericks,,Gal Mekel,placed on IL
4/20/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/20/14,Mavericks,,Ricky Ledo,placed on IL (out for season)
4/20/14,Rockets,,Isaiah Canaan,placed on IL
4/20/14,Rockets,,Robert Covington,placed on IL
4/20/14,Spurs,,Aron Baynes,placed on IL
4/20/14,Spurs,,Damion James,placed on IL (out for season)
4/20/14,Wizards,,Glen Rice Jr.,placed on IL (out for season)
4/21/14,Warriors,,Andrew Bogut,fractured right rib (DNP)
4/23/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/24/14,Warriors,,Andrew Bogut,fractured right rib (DNP)
4/26/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/26/14,Spurs,,Austin Daye,placed on IL (out for season)
4/26/14,Spurs,Aron Baynes,,activated from IL
4/27/14,Raptors,,Landry Fields,back spasms (DNP)
4/27/14,Raptors,,Landry Fields,placed on IL
4/27/14,Raptors,Julyan Stone,,activated from IL
4/27/14,Warriors,,Andrew Bogut,fractured right rib (DNP)
4/28/14,Bobcats,,Al Jefferson,strained plantar fascia in left foot (DNP)
4/28/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/29/14,Warriors,,Andrew Bogut,fractured right rib (DNP)
4/29/14,Warriors,Nemanja Nedovic,,activated from IL
4/30/14,Bobcats,,Josh McRoberts,surgery on left big toe to remove bone spurs (out indefinitely)
4/30/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/30/14,Raptors,,Julyan Stone,placed on IL (out for season)
4/30/14,Raptors,Landry Fields,,activated from IL
5/1/14,Clippers,,Hedo Turkoglu,placed on IL with back injury (out for season)
5/1/14,Clippers,Reggie Bullock,,activated from IL
5/1/14,Warriors,,Andrew Bogut,fractured right rib (DNP)
5/2/14,Bulls,,Joakim Noah,arthroscopic surgery on left knee (out indefinitely)
5/2/14,Mavericks,,Gal Mekel,knee injury (DNP)
5/3/14,Grizzlies,,Nick Calathes,placed on IL during suspension
5/3/14,Grizzlies,Jamaal Franklin,,activated from IL
5/3/14,Warriors,,Andrew Bogut,fractured right rib (DNP)
5/4/14,Mavericks,,Gal Mekel,knee injury (DNP)
5/6/14,76ers,,Michael Carter-Williams,surgery on right shoulder to repair torn labrum (out indefinitely)
5/6/14,Heat,,Greg Oden,placed on IL
5/6/14,Heat,Michael Beasley,,activated from IL
5/10/14,Blazers,,Mo Williams,placed on IL with strained groin
5/10/14,Blazers,Victor Claver,,activated from IL
5/12/14,Blazers,,Mo Williams,strained groin (DNP)
5/13/14,Cavaliers,,Anthony Bennett,surgery for removal of tonsils and adnoids (out indefinitely)
5/14/14,Blazers,,Mo Williams,strained groin (DNP)
5/15/14,Pelicans,,Tyreke Evans,arthroscopic surgery on right knee to remove scar tissue (out indefinitely)
5/16/14,Thunder,,Serge Ibaka,left calf injury (out indefinitely)
5/18/14,Pacers,,Evan Turner,strep throat (DTD)
5/18/14,Pacers,,Evan Turner,placed on IL with flu
5/18/14,Pacers,Solomon Hill,,activated from IL
5/19/14,Thunder,,Serge Ibaka,placed on IL with left calf injury
5/19/14,Thunder,Andre Roberson,,activated from IL
5/20/14,Pacers,,Solomon Hill,placed on IL
5/20/14,Pacers,Evan Turner,,activated from IL
5/24/14,Bobcats,,Gerald Henderson Jr.,arthroscopic surgery on right wrist to remove scar tissue (out indefinitely)
5/24/14,Heat,,Michael Beasley,placed on IL
5/24/14,Heat,Greg Oden,,activated from IL
5/25/14,Thunder,,Andre Roberson,placed on IL
5/25/14,Thunder,Serge Ibaka,,activated from IL
5/26/14,Heat,,Chris Andersen,placed on IL with bruised thigh
5/26/14,Heat,Michael Beasley,,activated from IL
5/27/14,Nets,,Deron Williams,surgery on left ankle to remove bone spurs and right ankle to remove loose bone fragment (out indefinitely)
5/30/14,Heat,,Michael Beasley,placed on IL
5/30/14,Heat,Chris Andersen,,activated from IL
6/15/14,Heat,,Greg Oden,placed on IL (out for season)
6/15/14,Heat,Michael Beasley,,activated from IL
6/28/14,Wizards,,Martell Webster,microdisectomy surgery on lower back to repair herniated disc (out indefinitely)
7/1/14,Spurs,,Patty Mills,right shoulder injury (surgery) (out indefinitely)
7/2/14,Spurs,,Manu Ginobili,stress fracture in right leg (out indefinitely)
7/5/14,76ers,,Pierre Jackson,right Achilles tendon injury (out indefinitely)
7/14/14,Thunder,,Perry Jones III,arthroscopic surgery on right knee (out indefinitely)
7/22/14,Blazers,,Thomas Robinson,surgery on right thumb to repair torn ligament (out indefinitely)
8/1/14,Pacers,,Paul George,surgery on right leg to repair fractured tibia and fibula (out indefinitely)
8/11/14,Nets,,Markel Brown,fractured right hand (out indefinitely)
8/15/14,Suns,,Isaiah Thomas,arthroscopic surgery on left wrist (out indefinitely)
8/15/14,Warriors,,Shaun Livingston,arthroscopic surgery on right big toe (out indefinitely)
9/2/14,Hornets,,Noah Vonleh,surgery to repair sports hernia (out indefinitely)
9/26/14,Celtics,,Rajon Rondo,surgery on fractured left finger (out indefinitely)
9/27/14,Pelicans,,Tyreke Evans,strained right hamstring (out indefinitely)
9/29/14,Heat,,Justin Hamilton ,surgery to repair atrial flutter (out indefinitely)
10/6/14,Lakers,,Nick Young,surgery on right thumb to repair torn ligament (out indefinitely)
10/7/14,Suns,,Alex Len,fractured right pinky finger (out indefinitely)
10/9/14,Thunder,,Mitch McGary,fractured left foot (out indefinitely)
10/11/14,Wizards,,Bradley Beal,surgery on left wrist to repair fracture (out indefinitely) (date approximate)
10/13/14,Bucks,,Johnny O'Bryant III,sprained MCL in right knee (out indefinitely)
10/13/14,Thunder,,Kevin Durant,fractured right toe (out indefinitely)
10/14/14,Pistons,,Jodie Meeks,stress fracture in lower back (out indefinitely)
10/16/14,Thunder,,Kevin Durant,surgery on right toe to repair fracture (out indefinitely)
10/17/14,Bucks,,Larry Sanders ,surgery (out indefinitely)
10/23/14,Lakers,,Steve Nash,back injury (out for season)
10/23/14,Suns,,T.J. Warren,fractured left thumb (out indefinitely)
10/25/14,Magic,,Victor Oladipo,surgery to repair facial fracture (out indefinitely)
10/27/14,Pacers,,C.J. Watson,bruised right foot (DTD)
10/28/14,Lakers,,Julius Randle,fractured tibia in right leg (out for season)
10/28/14,Lakers,,Nick Young,placed on IL recovering from surgery on right thumb to repair torn ligament
10/28/14,Lakers,,Ryan Kelly,sore right hamstring (DTD)
10/28/14,Lakers,,Steve Nash,placed on IL with back injury (out for season)
10/28/14,Lakers,,Wayne Ellington,concussion (DTD)
10/28/14,Magic,,Channing Frye,placed on IL with sprained MCL in left knee
10/28/14,Magic,,Victor Oladipo,placed on IL recovering from surgery to repair facial fracture
10/28/14,Mavericks,,Raymond Felton,placed on IL with sprained right ankle
10/28/14,Mavericks,,Ricky Ledo,placed on IL
10/28/14,Pelicans,,Patric Young,placed on IL
10/28/14,Pelicans,,Russ Smith,placed on IL with sprained left thumb
10/28/14,Rockets,,Clint Capela,placed on IL with strained groin
10/28/14,Rockets,,Nick Johnson,placed on IL with strained lower back
10/28/14,Spurs,,Kawhi Leonard,placed on IL with infection in right eye
10/28/14,Spurs,,Tiago Splitter,placed on IL with strained right calf
10/28/14,Spurs,,Patty Mills,placed on IL recovering from surgery on right shoulder to repair torn rotator cuff
10/29/14,76ers,,Jason Richardson,placed on IL with foot injury / left knee injury (P)
10/29/14,76ers,,Jerami Grant,placed on IL with sprained right ankle
10/29/14,76ers,,Joel Embiid,placed on IL with right foot injury (out for season)
10/29/14,76ers,,Luc Mbah a Moute,back injury (DTD)
10/29/14,76ers,,Michael Carter-Williams,recovering from surgery on right shoulder to repair torn labrum (DNP)
10/29/14,Blazers,,Meyers Leonard,placed on IL with upper respiratory illness
10/29/14,Blazers,,Victor Claver,placed on IL
10/29/14,Bucks,,Damien Inglis,placed on IL with surgery on right ankle/foot
10/29/14,Bucks,,Johnny O'Bryant III,placed on IL with sprained MCL in right knee
10/29/14,Bulls,,Jimmy Butler,placed on IL with sprained left thumb
10/29/14,Celtics,,Dwight Powell,placed on IL
10/29/14,Celtics,,Vitor Faverani,placed on IL recovering from surgery on left knee
10/29/14,Hawks,,Adreian Payne,placed on IL with plantar fasciaitis
10/29/14,Hawks,,John Jenkins,placed on IL
10/29/14,Heat,,Andre Dawkins,placed on IL
10/29/14,Heat,,Danny Granger,hamstring injury (DTD)
10/29/14,Heat,,Josh McRoberts,placed on IL with toe injury
10/29/14,Hornets,,Jeff Taylor ,placed on IL
10/29/14,Hornets,,Noah Vonleh,placed on IL recovering from surgery to repait hernia / back injury
10/29/14,Jazz,,Jordan Hamilton,placed on IL
10/29/14,Jazz,,Toure Murry,placed on IL
10/29/14,Kings,,Eric Moreland,placed on IL
10/29/14,Knicks,,Andrea Bargnani,placed on IL with strained right hamstring
10/29/14,Knicks,,Jose Calderon,placed on IL with strained right calf
10/29/14,Lakers,,Julius Randle,surgery on right leg to repair fractured tibia (out for season)
10/29/14,Lakers,Wayne Ellington,,returned to lineup
10/29/14,Nets,,Brook Lopez,placed on IL with sprained right ankle/foot
10/29/14,Nets,,Markel Brown,placed on IL
10/29/14,Nuggets,,Erick Green,placed on IL
10/29/14,Nuggets,,Gary Harris,placed on IL
10/29/14,Pacers,,David West,sprained right ankle (DTD)
10/29/14,Pacers,,George Hill,placed on IL with bruised left knee
10/29/14,Pacers,,Paul George,placed on IL recovering from surgery on right leg to repair fractured tibia and fibula
10/29/14,Pistons,,Cartier Martin,placed on IL with strained right foot
10/29/14,Pistons,,Jodie Meeks,placed on IL with stress fracture in lower back
10/29/14,Raptors,,Bruno Caboclo,placed on IL
10/29/14,Raptors,,Greg Stiemsma,placed on IL with sprained right ankle
10/29/14,Suns,,T.J. Warren,placed on IL with fractured left thumb
10/29/14,Suns,,Zoran Dragic,placed on IL
10/29/14,Thunder,,Anthony Morrow,sprained MCL in left knee (DTD)
10/29/14,Thunder,,Grant Jerrett,placed on IL recovering from surgery on left ankle
10/29/14,Thunder,,Jeremy Lamb,sprained lower back (DTD)
10/29/14,Thunder,,Kevin Durant,placed on IL recovering from surgery on right toe
10/29/14,Thunder,,Mitch McGary,placed on IL with fractured left foot
10/29/14,Thunder,,Reggie Jackson ,sprained right ankle (DTD)
10/29/14,Timberwolves,,Glenn Robinson III,ankle injury (DTD)
10/29/14,Timberwolves,,Kevin Martin,placed on IL with ankle injury
10/29/14,Timberwolves,,Ronny Turiaf,placed on IL with sore right hip
10/29/14,Warriors,,Brandon Rush,placed on IL with stress reaction in back
10/29/14,Warriors,,David Lee,placed on IL with strained left hamstring
10/29/14,Warriors,Shaun Livingston,,returned to lineup
10/29/14,Wizards,,Bradley Beal,placed on IL with fractured left wrist
10/29/14,Wizards,,Glen Rice Jr.,sprained right ankle (DNP)
10/29/14,Wizards,,Martell Webster,placed on IL recovering from microdisectomy surgery on lower back to repair herniated disc
10/30/14,Cavaliers,,A.J. Price,placed on IL
10/30/14,Clippers,,C.J. Wilcox,placed on IL
10/30/14,Clippers,,Glen Davis,placed on IL with strained right groin
10/30/14,Knicks,,Lou Amundson,placed on IL
10/30/14,Magic,,Kyle O'Quinn,placed on IL with ankle injury
10/30/14,Magic,Channing Frye,,activated from IL
10/30/14,Thunder,,Russell Westbrook,fractured right hand (DTD)
10/30/14,Timberwolves,,Glenn Robinson III,placed on IL with ankle injury
10/30/14,Timberwolves,Kevin Martin,,activated from IL
10/31/14,76ers,,Michael Carter-Williams,recovering from surgery on right shoulder to repair torn labrum (DTD)
10/31/14,76ers,Luc Mbah a Moute,,returned to lineup
10/31/14,Kings,,Derrick Williams,knee injury (DNP)
10/31/14,Spurs,Kawhi Leonard,,activated from IL
10/31/14,Suns,,Tyler Ennis,placed on IL
10/31/14,Suns,Zoran Dragic,,activated from IL
11/1/14,Bulls,,Derrick Rose,sprained left ankle (DTD)
11/1/14,Bulls,,Taj Gibson,placed on IL with sprained left ankle
11/1/14,Bulls,Jimmy Butler,,activated from IL
11/1/14,Grizzlies,,Courtney Lee,placed on IL with concussion
11/1/14,Heat,,Danny Granger,placed on IL with hamstring injury
11/1/14,Heat,,Udonis Haslem,placed on IL with strained left quadriceps
11/1/14,Heat,Andre Dawkins,,activated from IL
11/1/14,Heat,Josh McRoberts,,activated from IL
11/1/14,Raptors,,Lucas Nogueira,placed on IL
11/1/14,Raptors,Greg Stiemsma,,activated from IL
11/1/14,Rockets,,Patrick Beverley,placed on IL with hamstring injury
11/1/14,Rockets,Nick Johnson,,activated from IL
11/1/14,Suns,,Zoran Dragic,placed on IL
11/1/14,Thunder,,Russell Westbrook,surgery on right hand to repair fracture (out indefinitely)
11/1/14,Warriors,,Nemanja Nedovic,placed on IL
11/1/14,Warriors,Brandon Rush,,activated from IL
11/2/14,Blazers,,Joel Freeland,placed on IL with left foot injury
11/2/14,Blazers,Meyers Leonard,,activated from IL
11/2/14,Clippers,,Jamal Crawford,bruised ribs (DTD)
11/2/14,Heat,,Chris Andersen,placed on IL with bruised ribs
11/2/14,Heat,Danny Granger,,activated from IL
11/2/14,Kings,Derrick Williams,,returned to lineup
11/2/14,Raptors,,Amir Johnson,placed on IL with sprained left ankle
11/2/14,Raptors,Lucas Nogueira,,activated from IL
